title,code
staffing coordinator,13-1071
farm labor contractor,13-1074
harvesting contractor,13-1074
industrial relations specialist,13-1075
union representative,13-1075
logistician,13-1081
logistics analyst,13-1081
logistics planner,13-1081
business management analyst,13-1111
business process consultant,13-1111
clerical methods analyst,13-1111
industrial analyst,13-1111
records management analyst,13-1111
certified meeting professional ,13-1121
conference organizer,13-1121
conference planner,13-1121
conference planning manager,13-1121
conference services director,13-1121
conference services manager,13-1121
convention planner,13-1121
convention services manager,13-1121
corporate meeting planner,13-1121
event planner,13-1121
events manager,13-1121
campaign fundraiser,13-1131
fundraising officer,13-1131
benefits analyst,13-1141
compensation analyst,13-1141
compensation specialist,13-1141
employee benefits specialist,13-1141
job analyst,13-1141
job specification writer,13-1141
occupational analyst,13-1141
pension administrator,13-1141
position classification specialist,13-1141
retirement plan specialist,13-1141
computer training specialist,13-1151
corporate trainer,13-1151
employee development specialist,13-1151
job training specialist,13-1151
training coordinator,13-1151
training specialist,13-1151
market research analyst,13-1161
market research specialist,13-1161
marketing analyst,13-1161
marketing forecaster,13-1161
account auditor,13-2011
accountant,13-2011
certified public accountant,13-2011
cpa,13-2011
field auditor,13-2011
financial accountant,13-2011
financial auditor,13-2011
fund accountant,13-2011
payroll auditor,13-2011
assessor,13-2021
city assessor,13-2021
county assessor,13-2021
land appraiser,13-2021
property appraiser,13-2021
real estate appraiser,13-2021
real estate assessor,13-2021
real property evaluator,13-2021
residential fee appraiser,13-2021
budget analyst,13-2031
budget coordinator,13-2031
budget examiner,13-2031
budget officer,13-2031
chief credit analyst,13-2041
credit assessment analyst,13-2041
credit risk analyst,13-2041
factorer,13-2041
corporate financial analyst,13-2051
corporate securities research analyst,13-2051
corporate statistical financial analyst,13-2051
institutional commodity analyst,13-2051
certified financial planner,13-2052
estate planning counselor,13-2052
individual pension adviser,13-2052
individual pension consultant,13-2052
personal financial advisor,13-2052
personal financial planner,13-2052
personal investment adviser,13-2052
automobile and property underwriter,13-2053
bond underwriter,13-2053
insurance underwriter,13-2053
insurance writer,13-2053
underwriting account representative,13-2053
underwriting service representative,13-2053
bank compliance officer,13-2061
bank examiner,13-2061
financial compliance examiner,13-2061
home mortgage disclosure act specialist,13-2061
payroll examiner,13-2061
pension examiner,13-2061
debt management counselor,13-2071
financial assistance advisor,13-2071
branch lending officer,13-2072
commercial lender,13-2072
loan reviewer,13-2072
real estate loan officer,13-2072
city collector,13-2081
customs appraiser,13-2081
income tax adjuster,13-2081
internal revenue agent,13-2081
internal revenue service agent,13-2081
revenue collector,13-2081
revenue enforcement agent,13-2081
tax compliance officer,13-2081
tax compliance representative,13-2081
tax examiner,13-2081
tax investigator,13-2081
tax revenue officer,13-2081
corporate tax preparer,13-2082
income tax advisor,13-2082
income tax preparer,13-2082
licensed tax consultant,13-2082
tax consultant,13-2082
bail bondsman,13-2099
bondsman,13-2099
executor of estate,13-2099
computational theory scientist,15-1111
computer scientist,15-1111
control system computer scientist,15-1111
programming methodology and languages researcher,15-1111
computer systems analyst,15-1121
computer systems consultant,15-1121
data processing systems analyst,15-1121
information systems analyst,15-1121
information systems planner,15-1121
systems architect,15-1121
computer security specialist,15-1122
computer systems security analyst,15-1122
information security analyst,15-1122
information systems security analyst,15-1122
computer language coder,15-1131
junior software developer,15-1131
mainframe programmer,15-1131
application integration engineer,15-1132
computer applications developer,15-1132
computer applications engineer,15-1132
software applications architect,15-1132
software applications designer,15-1132
software applications engineer,15-1132
computer systems software architect,15-1133
computer systems software engineer,15-1133
embedded systems software developer,15-1133
enterprise systems engineer,15-1133
systems software designer,15-1133
systems software specialist,15-1133
intranet developer,15-1134
web content developer,15-1134
web developer,15-1134
database administration manager,15-1141
database coordinator,15-1141
database management system specialist,15-1141
database security administrator,15-1141
dbms specialist,15-1141
computer systems security administrator,15-1142
lan administrator,15-1142
lan systems administrator,15-1142
local area network administrator,15-1142
network coordinator,15-1142
network support coordinator,15-1142
network support manager,15-1142
network systems administrator,15-1142
network systems coordinator,15-1142
wan systems administrator,15-1142
wide area network administrator,15-1142
computer network engineer,15-1143
network designer,15-1143
network developer,15-1143
computer customer support specialist,15-1151
computer help desk representative,15-1151
computer help desk specialist,15-1151
end-user support specialist,15-1151
help desk analyst,15-1151
help desk technician,15-1151
pc support specialist,15-1151
network diagnostic support specialist,15-1152
network support technician,15-1152
computer laboratory technician,15-1199
actuarial associate,15-2011
actuarial mathematician,15-2011
health actuary,15-2011
insurance actuary,15-2011
pricing actuary,15-2011
product development actuary,15-2011
algebraist,15-2021
cipher expert,15-2021
cryptographer,15-2021
cryptographic vulnerability analyst,15-2021
mathematician,15-2021
operations research analyst,15-2031
procedure analyst,15-2031
process analyst,15-2031
analytical statistician,15-2041
applied statistician,15-2041
biometrician,15-2041
biostatistician,15-2041
environmental statistician,15-2041
mathematical statistician,15-2041
research biostatistician,15-2041
sampling expert,15-2041
statistical reporting analyst,15-2041
statistician,15-2041
time study statistician,15-2041
mathematical engineering technician,15-2091
mathematics technician,15-2091
harmonic analyst,15-2099
building architect,17-1011
building architectural designer,17-1011
structural architect,17-1011
golf course architect,17-1012
golf course designer,17-1012
landscape designer,17-1012
lanscape architect,17-1012
cadastral mapper,17-1021
digital cartographer,17-1021
"engineer, photogrammetric",17-1021
map maker,17-1021
mapper,17-1021
orthophotography technician,17-1021
photo cartographer,17-1021
photogrammetrist,17-1021
topographer,17-1021
city surveyor,17-1022
county surveyor,17-1022
geodetic surveyor,17-1022
geophysical prospecting surveyor,17-1022
land surveyor,17-1022
mine surveyor,17-1022
mineral surveyor,17-1022
registered land surveyor,17-1022
topographical surveyor,17-1022
aeronautical engineer,17-2011
aerospace engineer,17-2011
aircraft design engineer,17-2011
aircraft designer,17-2011
aircraft engineer,17-2011
astronautical engineer,17-2011
flight systems test engineer,17-2011
flight test engineer,17-2011
wind tunnel engineer,17-2011
agricultural engineer,17-2021
agricultural production engineer,17-2021
agricultural research engineer,17-2021
farm equipment engineer,17-2021
biomaterials engineer,17-2031
bio-mechanical engineer,17-2031
dialysis engineer,17-2031
absorption and adsorption engineer,17-2041
chemical process engineer,17-2041
chemical research engineer,17-2041
fuels engineer,17-2041
oxidation engineer,17-2041
polymerization engineer,17-2041
refinery process engineer,17-2041
architectural engineer,17-2051
bridge engineer,17-2051
geotechnical engineer,17-2051
highway engineer,17-2051
hydrographic engineer,17-2051
railroad design consultant,17-2051
computer hardware designer,17-2061
computer hardware developer,17-2061
computer hardware engineer,17-2061
electrical engineer,17-2071
electrical systems engineer,17-2071
illuminating engineer,17-2071
power distribution engineer,17-2071
antenna engineer,17-2072
circuit design engineer,17-2072
electronic design automation engineer,17-2072
electronic engineer,17-2072
air pollution control engineer,17-2081
environmental engineer,17-2081
hazardous substances engineer,17-2081
hazardous waste management control engineer,17-2081
pollution control engineer,17-2081
soil engineer,17-2081
waste management engineer,17-2081
wastewater treatment engineer,17-2081
water treatment plant engineer,17-2081
fire prevention engineer,17-2111
fire protection engineer,17-2111
industrial safety engineer,17-2111
product safety engineer,17-2111
product safety test engineer,17-2111
system safety engineer,17-2111
efficiency engineer,17-2112
marine architect,17-2121
marine equipment engineer,17-2121
marine structural designer,17-2121
naval engineer,17-2121
ships equipment engineer,17-2121
automotive sheet metal engineer,17-2131
ceramic engineer,17-2131
forensic materials engineer,17-2131
glass science engineer,17-2131
metallographer,17-2131
metallurgical engineer,17-2131
metallurgist,17-2131
welding engineer,17-2131
auto research engineer,17-2141
combustion engineer,17-2141
engine designer,17-2141
heating and cooling systems engineer,17-2141
tool and die engineer,17-2141
geophysical engineer,17-2151
mineral engineer,17-2151
mining engineer,17-2151
seismic engineer,17-2151
atomic process engineer,17-2161
nuclear engineer,17-2161
nuclear radiation engineer,17-2161
nuclear steam supply system engineer,17-2161
radiation engineer,17-2161
reactor engineer,17-2161
reactor projects engineer,17-2161
natural gas engineer,17-2171
oil drilling engineer,17-2171
oil exploration engineer,17-2171
oil well engineer,17-2171
petroleum engineer,17-2171
corrosion control engineer,17-2199
mathematical engineer,17-2199
optical engineer,17-2199
ordnance engineer,17-2199
photonics engineer,17-2199
architectural drafter,17-3011
building drafter,17-3011
civil computer-aided design and drafting technician,17-3011
civil drafter,17-3011
structural drafter,17-3011
circuit board drafter,17-3012
electrical computer aided design and drafting technician,17-3012
electrical drafter,17-3012
electrical systems drafter,17-3012
electronic drafter,17-3012
printed circuit board drafter,17-3012
aeronautical drafter,17-3013
automotive design drafter,17-3013
die designer,17-3013
gage designer,17-3013
mechanical design drafter,17-3013
mechanical drafter,17-3013
tool and die designer,17-3013
blueprint tracer,17-3019
drafting layout worker,17-3019
draughtsman,17-3019
altitude chamber technician,17-3021
flight data technician,17-3021
wind tunnel technician,17-3021
civil engineering technician,17-3022
concrete engineering technician,17-3022
geotechnical engineering technician,17-3022
highway engineering technician,17-3022
structural engineering technician,17-3022
transportation engineering technician,17-3022
electrical design technician,17-3023
electrical engineering technician,17-3023
electrical power station technician,17-3023
electronic instrument testing technician,17-3023
lighting engineering technician,17-3023
programmable logic controller programmer,17-3023
semiconductor development technician,17-3023
remotely piloted vehicle engineering technician,17-3024
robotics testing technician,17-3024
air analysis engineering technician,17-3025
environmental remediation engineering technician,17-3025
pollution control engineering technician,17-3025
industrial engineering technician,17-3026
motion study technician,17-3026
production control technologist ,17-3026
time study technician,17-3026
time study technologist ,17-3026
gyroscopic engineering technician,17-3027
heat transfer technician,17-3027
hydraulic technician,17-3027
mechanical engineering technician,17-3027
agricultural engineering technicians,17-3029
marine engineering technicians,17-3029
materials engineering technician,17-3029
metallurgical engineering technician,17-3029
nuclear engineering technician,17-3029
optical engineering technician,17-3029
ordnance engineering technician,17-3029
salvage engineering technician,17-3029
cartographic aide,17-3031
field map technician,17-3031
geophysical prospecting surveying technician,17-3031
gis mapping technician,17-3031
mapping technician,17-3031
mineral surveying technician,17-3031
surveying technician,17-3031
topography technician,17-3031
animal geneticist,19-1011
animal nutritionist,19-1011
animal scientist,19-1011
beef cattle nutritionist,19-1011
dairy scientist,19-1011
poultry scientist,19-1011
enologist,19-1012
food preservation scientist,19-1012
food processing scientist,19-1012
food safety scientist,19-1012
food scientist,19-1012
food technologist,19-1012
agriculturist,19-1013
agronomist,19-1013
arboreal scientist,19-1013
crop nutrition scientist,19-1013
floriculturist,19-1013
plant physiologist,19-1013
plant scientist,19-1013
pomologist,19-1013
soil fertility extension specialist,19-1013
biochemist,19-1021
biological chemist,19-1021
biophysicist,19-1021
clinical biochemist,19-1021
physical biochemist,19-1021
clinical microbiologist,19-1022
medical microbiologist,19-1022
microbiological analyst,19-1022
quality control microbiologist,19-1022
virologist,19-1022
ichthyologist,19-1023
lepidopterist,19-1023
migratory game bird biologist,19-1023
ornithologist,19-1023
protozoologist,19-1023
bryologist,19-1029
plant etiologist,19-1029
conservation science officer,19-1031
conservation scientist,19-1031
grassland conservationist,19-1031
land reclamation specialist,19-1031
land resource specialist,19-1031
range conservationist,19-1031
range ecologist,19-1031
range scientist,19-1031
resource conservationist,19-1031
soil conservationist,19-1031
water conservationist,19-1031
environmental protection forester,19-1032
forest ecologist ,19-1032
forestry scientist,19-1032
land management forester,19-1032
operations forester,19-1032
resource forester,19-1032
service forester,19-1032
timber management specialist,19-1032
urban forester,19-1032
clinical epidemiologist,19-1041
communicable disease specialist,19-1041
environmental epidemiologist,19-1041
epidemiology investigator,19-1041
malariologist,19-1041
medical epidemiologist,19-1041
pharmacoepidemiologist,19-1041
cancer researcher,19-1042
clinical pharmacologist,19-1042
clinical research scientist,19-1042
gerontologist,19-1042
histologist,19-1042
immunochemist,19-1042
medical health researcher,19-1042
medical research scientist,19-1042
medical scientist,19-1042
neuroscientist,19-1042
pharmacologist,19-1042
serologist,19-1042
life science taxonomist,19-1099
astronomer,19-2011
fluid dynamicist,19-2012
health physicist,19-2012
mathematical physicist,19-2012
molecular physicist,19-2012
nuclear physicist,19-2012
research physicist,19-2012
rheologist,19-2012
thermodynamic physicist,19-2012
atmospheric chemist,19-2021
atmospheric scientist,19-2021
hurricane tracker,19-2021
oceanographic meteorologist,19-2021
space scientist,19-2021
storm chaser,19-2021
tornado chaser,19-2021
warning coordination meteorologist,19-2021
weather analyst,19-2021
weather forecaster,19-2021
weatherman,19-2021
agricultural chemist,19-2031
analytical chemist,19-2031
bench chemist,19-2031
formulary chemist,19-2031
industrial chemist,19-2031
inorganic chemist,19-2031
laboratory chemist,19-2031
nuclear chemist,19-2031
organic chemist,19-2031
quality control chemist,19-2031
research and development chemist,19-2031
materials scientist,19-2032
metal alloy scientist,19-2032
plastics scientist,19-2032
ecological modeler,19-2041
hazardous substances scientist,19-2041
health environmentalist,19-2041
water pollution scientist,19-2041
crystallographer,19-2042
development geologist,19-2042
environmental geologist,19-2042
geochemist,19-2042
geomagnetist,19-2042
mine geologist,19-2042
mineralogist,19-2042
mining production geologist,19-2042
oceanographer,19-2042
oceanologist,19-2042
paleontologist,19-2042
petrologist,19-2042
research geologist,19-2042
sedimentationist,19-2042
stratigrapher,19-2042
volcanologist ,19-2042
hydrologist,19-2043
isotope hydrologist,19-2043
surface hydrologist,19-2043
agricultural economist,19-3011
econometrician,19-3011
economic development specialist,19-3011
economic research analyst,19-3011
economist,19-3011
environmental economist,19-3011
industrial economist,19-3011
labor economist,19-3011
price economist,19-3011
social economist,19-3011
tax economist,19-3011
trade economist,19-3011
pollster,19-3022
survey methodologist,19-3022
survey questionnaire designer,19-3022
survey researcher,19-3022
child psychologist,19-3031
clinical psychologist,19-3031
eating disorder psychologist,19-3031
educational psychologist,19-3031
geropsychologist,19-3031
pediatric psychologist,19-3031
vocational psychologist,19-3031
human resources psychologist,19-3032
i/o psychologist,19-3032
industrial psychologist,19-3032
management psychologist,19-3032
organizational psychologist,19-3032
organizational research consultant,19-3032
personnel research psychologist,19-3032
neuropsychologist,19-3039
rehabilitation psychologist,19-3039
family sociologist,19-3041
penologist,19-3041
rural sociologist,19-3041
sociologist,19-3041
urban sociologist,19-3041
city planner,19-3051
community development planner,19-3051
regional planner,19-3051
urban planner,19-3051
anthropologist,19-3091
applied anthropologist,19-3091
ethnoarchaeologist,19-3091
medical anthropologist,19-3091
physical anthropologist,19-3091
political anthropologist,19-3091
research anthropologist,19-3091
research archaeologist,19-3091
biogeographer,19-3092
economic geographer,19-3092
geographer,19-3092
gis geographer,19-3092
glaciologist,19-3092
physical geographer,19-3092
political geographer,19-3092
genealogist,19-3093
historiographer,19-3093
protohistorian,19-3093
government affairs researcher,19-3094
government affairs specialist,19-3094
local governance and citizen participation specialist,19-3094
political consultant,19-3094
political research scientist,19-3094
political researcher ,19-3094
demographer,19-3099
etymologist,19-3099
linguist,19-3099
agriculture technician,19-4011
agronomy technician,19-4011
cotton program technician,19-4011
dairy lab technician,19-4011
dairy technician,19-4011
feed mill lab technician,19-4011
feed research technician,19-4011
food quality technician,19-4011
food science technician,19-4011
sugarcane research technician,19-4011
weed science research technician,19-4011
bacteriology technician,19-4021
biochemistry technician,19-4021
biology laboratory assistant,19-4021
marine fisheries technician,19-4021
assayer,19-4031
chemical laboratory technician,19-4031
chemical technician,19-4031
inorganic chemical technician,19-4031
crude tester,19-4041
geological sample tester,19-4041
magnetometer operator,19-4041
mineral technologist,19-4041
mud logger,19-4041
petroleum technician,19-4041
seismic interpreter,19-4041
seismic observer,19-4041
seismograph operator,19-4041
nuclear monitoring technician,19-4051
nuclear technician,19-4051
radiochemical technician,19-4051
economic research assistant,19-4061
economist research assistant,19-4061
historian research assistant,19-4061
political science research assistant,19-4061
psychologist research assistant,19-4061
sociology research assistant,19-4061
air quality technician,19-4091
environmental compliance technician,19-4091
environmental science technician,19-4091
groundwater monitoring technician,19-4091
infectious waste technician,19-4091
public health sanitarian technician,19-4091
radon inspector,19-4091
waste minimization technician,19-4091
ballistic technician,19-4092
ballistician,19-4092
ballistics expert,19-4092
crime lab technician,19-4092
criminalist technician,19-4092
fingerprint expert,19-4092
forensic analyst,19-4092
forensic science technician,19-4092
handwriting expert,19-4092
trace evidence technician,19-4092
wildlife forensic geneticist,19-4092
forestry aide,19-4093
natural resources technician,19-4093
timber management technician,19-4093
meteorological aide,19-4099
addiction counselor,21-1011
addiction therapist,21-1011
alcohol and drug counselor,21-1011
certified abuse and drug addiction counselor,21-1011
certified alcohol and drug counselor,21-1011
drug abuse counselor,21-1011
drug counselor,21-1011
career counselor,21-1012
career technical counselor,21-1012
education counselor,21-1012
international student counselor,21-1012
school adjustment counselor,21-1012
school guidance counselor,21-1012
student advisor,21-1012
student development advisor,21-1012
student services counselor,21-1012
student success counselor,21-1012
study abroad advisor,21-1012
vocational adviser,21-1012
child and family counselor,21-1013
couples therapist,21-1013
family counselor,21-1013
family therapist,21-1013
marriage counselor,21-1013
marriage therapist,21-1013
relationship counselor,21-1013
clinical mental health counselor,21-1014
licensed clinical mental health counselor,21-1014
licensed clinical mental health counselor (lcmhc),21-1014
licensed mental health counselor,21-1014
licensed mental health counselor (lmhc),21-1014
certified rehabilitation counselor,21-1015
coordinator of rehabilitation services,21-1015
psychosocial rehabilitation counselor,21-1015
rehabilitation counselor,21-1015
veterans rehabilitation counselor,21-1015
aids counselor,21-1019
anger control counselor,21-1019
hiv counselor,21-1019
c-cyfsw,21-1021
"certified children, youth, and family social worker",21-1021
child abuse worker,21-1021
child and family services worker,21-1021
child protective services social worker,21-1021
child protective services specialist,21-1021
child welfare social worker,21-1021
child welfare worker,21-1021
family preservation caseworker,21-1021
family preservation worker,21-1021
family service caseworker,21-1021
foster care social worker,21-1021
foster care worker,21-1021
aids social worker,21-1022
certified social workers in health care,21-1022
c-swhc,21-1022
healthcare social worker,21-1022
hospice home care social worker,21-1022
hospice social worker,21-1022
hospital social worker,21-1022
neonatal social worker,21-1022
nephrology social worker,21-1022
oncology social worker,21-1022
pediatric social worker,21-1022
public health social worker,21-1022
renal social worker,21-1022
community mental health social worker,21-1023
drug abuse social worker,21-1023
psychiatric social worker,21-1023
psychotherapist social worker,21-1023
criminal justice social worker,21-1029
forensic social worker,21-1029
sexual assault social worker,21-1029
certified diabetes educator,21-1091
certified health education specialist ,21-1091
community health education coordinator,21-1091
diabetes educator,21-1091
health education specialist,21-1091
health educator,21-1091
public health educator,21-1091
correctional treatment specialist,21-1092
juvenile probation officer,21-1092
parole agent,21-1092
parole officer,21-1092
addictions counselor assistant,21-1093
case work aide,21-1093
clinical social work aide,21-1093
family service assistant,21-1093
human services worker,21-1093
social work assistant,21-1093
chw,21-1094
community health advisor,21-1094
community health representative,21-1094
community health worker,21-1094
lay health advocate,21-1094
peer health promoter,21-1094
promotor(a),21-1094
children's pastor,21-2011
college chaplain,21-2011
hebrew cantor,21-2011
hospital chaplain,21-2011
imam,21-2011
minister,21-2011
parish priest,21-2011
pastor,21-2011
priest,21-2011
rabbi,21-2011
reverend,21-2011
vicar,21-2011
youth pastor,21-2011
campus ministry director,21-2021
christian education minister,21-2021
education minister,21-2021
parish religious education director,21-2021
religious activities director,21-2021
religious education coordinator,21-2021
religious education director,21-2021
student ministries director,21-2021
youth ministry director,21-2021
buddhist monk,21-2099
christian science nurse,21-2099
pastoral worker,21-2099
prior,21-2099
traveling missionary,21-2099
verger,21-2099
agency legal counsel,23-1011
assistant attorney general,23-1011
assistant corporation counsel,23-1011
assistant counsel,23-1011
associate attorney,23-1011
attorney,23-1011
attorney general,23-1011
city attorney,23-1011
civil lawyer,23-1011
commonwealth attorney,23-1011
corporate attorney,23-1011
corporate counsel,23-1011
corporate counselor,23-1011
county attorney,23-1011
defense attorney,23-1011
deputy attorney general,23-1011
deputy chief counsel,23-1011
district attorney,23-1011
environmental attorney,23-1011
estate conservator,23-1011
general counsel,23-1011
insurance attorney,23-1011
lawyer,23-1011
legal counsel,23-1011
probate lawyer,23-1011
prosecutor,23-1011
public defender,23-1011
real estate attorney,23-1011
sports attorney,23-1011
tax attorney,23-1011
trial attorney,23-1011
trial lawyer,23-1011
judicial clerk,23-1012
appeals examiner,23-1021
appeals referee,23-1021
appellate conferee,23-1021
hearing examiner,23-1021
hearing officer,23-1021
traffic court referee,23-1021
alternative dispute resolution coordinator,23-1022
mediation commissioner,23-1022
ombudsman,23-1022
administrative court justice,23-1023
circuit court judge,23-1023
county court judge,23-1023
criminal court judge,23-1023
district court judge,23-1023
jurist,23-1023
justice,23-1023
probate judge,23-1023
trial court judge,23-1023
tribal judge,23-1023
assistant paralegal,23-2011
legal aide,23-2011
summer associate,23-2011
summer law clerk,23-2011
court recording monitor,23-2091
court stenographer,23-2091
court transcriber,23-2091
deposition reporter,23-2091
stenocaptioner,23-2091
voice writing reporter,23-2091
abstract searcher,23-2093
abstract writer,23-2093
advisory title officer,23-2093
land title examiner,23-2093
lease examiner,23-2093
lien searcher,23-2093
title agent,23-2093
title checker,23-2093
title examiner,23-2093
title inspector,23-2093
title investigator,23-2093
title officer,23-2093
title searcher,23-2093
legal technician,23-2099
accounting professor,25-1011
banking and finance instructor,25-1011
business administration professor,25-1011
management professor,25-1011
marketing instructor,25-1011
marketing professor,25-1011
c++ professor,25-1021
computer information systems professor,25-1021
computer programming professor,25-1021
information systems professor,25-1021
information technology professor,25-1021
it professor,25-1021
java programming professor,25-1021
actuarial science professor,25-1022
biostatistics professor,25-1022
calculus professor,25-1022
geometry professor,25-1022
statistical methods professor ,25-1022
statistics professor,25-1022
topology professor,25-1022
architectural design professor,25-1031
architecture professor,25-1031
interior design professor,25-1031
landscape architecture professor,25-1031
